date,PREC
1/1/2017,0
1/2/2017,0.87
1/3/2017,1.22
1/4/2017,0.74
1/5/2017,0.02
1/6/2017,1.24
1/7/2017,0.16
1/8/2017,0.59
1/9/2017,0
1/10/2017,0
1/11/2017,1.31
1/12/2017,0.73
1/13/2017,0
1/14/2017,0.01
1/15/2017,0.03
1/16/2017,0
1/17/2017,0.15
1/18/2017,2.04
1/19/2017,0.01
1/20/2017,0.16
1/21/2017,0.37
1/22/2017,0.18
1/23/2017,0.88
1/24/2017,3.92
1/25/2017,0.21
1/26/2017,0.04
1/27/2017,0.1
1/28/2017,0
1/29/2017,0
1/30/2017,0.02
1/31/2017,0.1
2/1/2017,0.01
2/2/2017,0
2/3/2017,0
2/4/2017,0
2/5/2017,0
2/6/2017,0
2/7/2017,0.04
2/8/2017,0.52
2/9/2017,1.83
2/10/2017,1.02
2/11/2017,0
2/12/2017,0.61
2/13/2017,0.31
2/14/2017,0
2/15/2017,0
2/16/2017,0
2/17/2017,0
2/18/2017,0
2/19/2017,0
2/20/2017,0
2/21/2017,0
2/22/2017,0.04
2/23/2017,0
2/24/2017,0
2/25/2017,0.33
2/26/2017,1.86
2/27/2017,0.01
2/28/2017,0.18
3/1/2017,0.23
3/2/2017,0.01
3/3/2017,0
3/4/2017,0.01
3/5/2017,0
3/6/2017,0
3/7/2017,0.07
3/8/2017,0.17
3/9/2017,0
3/10/2017,0.45
3/11/2017,1.01
3/12/2017,0
3/13/2017,0.13
3/14/2017,4.59
3/15/2017,1.47
3/16/2017,0.01
3/17/2017,0
3/18/2017,0.01
3/19/2017,0.08
3/20/2017,0
3/21/2017,0.07
3/22/2017,0
3/23/2017,0
3/24/2017,0
3/25/2017,0.02
3/26/2017,0.1
3/27/2017,0.13
3/28/2017,1.62
3/29/2017,2.16
3/30/2017,0.11
3/31/2017,2.95
4/1/2017,4.85
4/2/2017,0.01
4/3/2017,0.23
4/4/2017,1.78
4/5/2017,0
4/6/2017,1.75
4/7/2017,4.7
4/8/2017,0.02
4/9/2017,0
4/10/2017,0
4/11/2017,0
4/12/2017,0
4/13/2017,0
4/14/2017,0
4/15/2017,0
4/16/2017,0
4/17/2017,0.08
4/18/2017,0.3
4/19/2017,0
4/20/2017,0.06
4/21/2017,0.57
4/22/2017,0.91
4/23/2017,0.74
4/24/2017,0.02
4/25/2017,0.92
4/26/2017,3.01
4/27/2017,0.01
4/28/2017,0.1
4/29/2017,0.49
4/30/2017,0.05
5/1/2017,0
5/2/2017,0.05
5/3/2017,0
5/4/2017,0
5/5/2017,1.79
5/6/2017,5.22
5/7/2017,0.04
5/8/2017,0.18
5/9/2017,0
5/10/2017,0
5/11/2017,0
5/12/2017,0
5/13/2017,5.2
5/14/2017,4.6
5/15/2017,0.1
5/16/2017,0
5/17/2017,0
5/18/2017,0
5/19/2017,0
5/20/2017,0.12
5/21/2017,0.02
5/22/2017,0.74
5/23/2017,1.31
5/24/2017,0.21
5/25/2017,4.49
5/26/2017,4.98
5/27/2017,0.03
5/28/2017,0.05
5/29/2017,1.16
5/30/2017,0.18
5/31/2017,0.18
6/1/2017,0
6/2/2017,0
6/3/2017,0.05
6/4/2017,0.01
6/5/2017,0.02
6/6/2017,2.14
6/7/2017,0.05
6/8/2017,0
6/9/2017,0
6/10/2017,0
6/11/2017,0
6/12/2017,0
6/13/2017,0
6/14/2017,0.28
6/15/2017,0.17
6/16/2017,0
6/17/2017,0.11
6/18/2017,2.07
6/19/2017,0.69
6/20/2017,2.92
6/21/2017,0.01
6/22/2017,0.84
6/23/2017,0.04
6/24/2017,4.01
6/25/2017,0.05
6/26/2017,0
6/27/2017,0.73
6/28/2017,0
6/29/2017,0.23
6/30/2017,0
7/1/2017,0.63
7/2/2017,1.82
7/3/2017,0
7/4/2017,0.41
7/5/2017,0.47
7/6/2017,0.26
7/7/2017,1.34
7/8/2017,0.6
7/9/2017,0
7/10/2017,0
7/11/2017,0
7/12/2017,0
7/13/2017,0
7/14/2017,2.18
7/15/2017,0.54
7/16/2017,0
7/17/2017,0.01
7/18/2017,0.34
7/19/2017,0
7/20/2017,0
7/21/2017,0.06
7/22/2017,0
7/23/2017,1.92
7/24/2017,5.8
7/25/2017,2.6
7/26/2017,0.01
7/27/2017,0
7/28/2017,0.01
7/29/2017,1.31
7/30/2017,0.03
7/31/2017,0
8/1/2017,0
8/2/2017,1.4
8/3/2017,1.24
8/4/2017,0.83
8/5/2017,3.63
8/6/2017,0.01
8/7/2017,1.13
8/8/2017,1.82
8/9/2017,0
8/10/2017,0
8/11/2017,0.04
8/12/2017,0.32
8/13/2017,0
8/14/2017,0
8/15/2017,0.19
8/16/2017,0.19
8/17/2017,0
8/18/2017,0.25
8/19/2017,2.31
8/20/2017,0
8/21/2017,0
8/22/2017,2.08
8/23/2017,1.65
8/24/2017,0
8/25/2017,0
8/26/2017,0
8/27/2017,0
8/28/2017,0
8/29/2017,0.82
8/30/2017,2.31
8/31/2017,0
9/1/2017,0.08
9/2/2017,0.48
9/3/2017,1.35
9/4/2017,0.01
9/5/2017,0.11
9/6/2017,1.5
9/7/2017,1.09
9/8/2017,0
9/9/2017,0
9/10/2017,0
9/11/2017,0
9/12/2017,0
9/13/2017,0.04
9/14/2017,0.34
9/15/2017,0
9/16/2017,2.58
9/17/2017,0.16
9/18/2017,0
9/19/2017,0.07
9/20/2017,0.18
9/21/2017,0
9/22/2017,0.09
9/23/2017,0
9/24/2017,0
9/25/2017,0
9/26/2017,0
9/27/2017,0
9/28/2017,0
9/29/2017,0
9/30/2017,0
10/1/2017,0
10/2/2017,0
10/3/2017,0
10/4/2017,0
10/5/2017,0
10/6/2017,0
10/7/2017,0
10/8/2017,0.17
10/9/2017,0.89
10/10/2017,1.5
10/11/2017,0
10/12/2017,0.99
10/13/2017,0.07
10/14/2017,0.08
10/15/2017,0.03
10/16/2017,0.15
10/17/2017,0
10/18/2017,0
10/19/2017,0
10/20/2017,0
10/21/2017,0
10/22/2017,0
10/23/2017,0
10/24/2017,0.35
10/25/2017,0.71
10/26/2017,0
10/27/2017,0
10/28/2017,0
10/29/2017,1.96
10/30/2017,7
10/31/2017,0.02
11/1/2017,0
11/2/2017,0
11/3/2017,0
11/4/2017,0.03
11/5/2017,0.59
11/6/2017,0.15
11/7/2017,0.63
11/8/2017,1.53
11/9/2017,0.01
11/10/2017,0.03
11/11/2017,0
11/12/2017,0
11/13/2017,0.86
11/14/2017,0.43
11/15/2017,0
11/16/2017,0.14
11/17/2017,0
11/18/2017,0.03
11/19/2017,1.17
11/20/2017,0.02
11/21/2017,0
11/22/2017,0.32
11/23/2017,0.08
11/24/2017,0
11/25/2017,0
11/26/2017,0
11/27/2017,0
11/28/2017,0
11/29/2017,0
11/30/2017,0.03
12/1/2017,0.04
12/2/2017,0
12/3/2017,0
12/4/2017,0
12/5/2017,0.16
12/6/2017,1.22
12/7/2017,0.03
12/8/2017,0.01
12/9/2017,0.37
12/10/2017,0.66
12/11/2017,0.01
12/12/2017,0.03
12/13/2017,0.06
12/14/2017,0.19
12/15/2017,0.16
12/16/2017,0.49
12/17/2017,0
12/18/2017,0
12/19/2017,0
12/20/2017,0
12/21/2017,0
12/22/2017,0
12/23/2017,0.62
12/24/2017,1.63
12/25/2017,0.5
12/26/2017,0
12/27/2017,0
12/28/2017,0
12/29/2017,0
12/30/2017,0.04
12/31/2017,0.03
1/1/2018,0
1/2/2018,0
1/3/2018,0
1/4/2018,0.5
1/5/2018,0.54
1/6/2018,0
1/7/2018,0
1/8/2018,0.06
1/9/2018,0.13
1/10/2018,0
1/11/2018,0
1/12/2018,1.67
1/13/2018,3.95
1/14/2018,0
1/15/2018,0
1/16/2018,0
1/17/2018,0.43
1/18/2018,0.08
1/19/2018,0
1/20/2018,0
1/21/2018,0
1/22/2018,0
1/23/2018,0.95
1/24/2018,0.59
1/25/2018,0
1/26/2018,0
1/27/2018,0
1/28/2018,0.94
1/29/2018,0.64
1/30/2018,0.29
1/31/2018,0.26
2/1/2018,0.03
2/2/2018,0.73
2/3/2018,0
2/4/2018,0.86
2/5/2018,2.78
2/6/2018,0
2/7/2018,0.83
2/8/2018,3.02
2/9/2018,0
2/10/2018,0.41
2/11/2018,4.7
2/12/2018,3.33
2/13/2018,0.01
2/14/2018,0.07
2/15/2018,0.84
2/16/2018,2.36
2/17/2018,0.56
2/18/2018,0.91
2/19/2018,0
2/20/2018,0.03
2/21/2018,0.02
2/22/2018,0.07
2/23/2018,0.65
2/24/2018,0.34
2/25/2018,2.28
2/26/2018,0.86
2/27/2018,0
2/28/2018,0
3/1/2018,0.56
3/2/2018,4.69
3/3/2018,2.07
3/4/2018,0
3/5/2018,0
3/6/2018,0.23
3/7/2018,2.14
3/8/2018,3.19
3/9/2018,0
3/10/2018,0
3/11/2018,0
3/12/2018,0.06
3/13/2018,0.29
3/14/2018,0
3/15/2018,0
3/16/2018,0
3/17/2018,0
3/18/2018,0
3/19/2018,0
3/20/2018,0.4
3/21/2018,1.68
3/22/2018,1.72
3/23/2018,0
3/24/2018,0
3/25/2018,0
3/26/2018,0
3/27/2018,0
3/28/2018,0.06
3/29/2018,0.36
3/30/2018,0.18
3/31/2018,0.49
4/1/2018,0.21
4/2/2018,0.27
4/3/2018,0.68
4/4/2018,0.67
4/5/2018,0.15
4/6/2018,0.18
4/7/2018,0.01
4/8/2018,0
4/9/2018,0
4/10/2018,0.09
4/11/2018,0
4/12/2018,0
4/13/2018,0
4/14/2018,0
4/15/2018,0.61
4/16/2018,8.16
4/17/2018,2.18
4/18/2018,0.01
4/19/2018,0
4/20/2018,0.06
4/21/2018,0
4/22/2018,0
4/23/2018,0
4/24/2018,0.11
4/25/2018,1
4/26/2018,0.27
4/27/2018,1.01
4/28/2018,0.3
4/29/2018,1.12
4/30/2018,0.01
5/1/2018,0
5/2/2018,0
5/3/2018,0
5/4/2018,0
5/5/2018,0
5/6/2018,0
5/7/2018,0.09
5/8/2018,0
5/9/2018,0
5/10/2018,0
5/11/2018,0.02
5/12/2018,2.73
5/13/2018,2.75
5/14/2018,1.55
5/15/2018,0.55
5/16/2018,1.2
5/17/2018,3.11
5/18/2018,0.39
5/19/2018,2.05
5/20/2018,0.96
5/21/2018,0.1
5/22/2018,0.35
5/23/2018,1.08
5/24/2018,0
5/25/2018,0
5/26/2018,0.85
5/27/2018,1.04
5/28/2018,1.67
5/29/2018,0
5/30/2018,0
5/31/2018,0.1
6/1/2018,1.37
6/2/2018,0.25
6/3/2018,5.61
6/4/2018,3.65
6/5/2018,0.01
6/6/2018,0.94
6/7/2018,0.25
6/8/2018,0
6/9/2018,0.01
6/10/2018,0.77
6/11/2018,14.73
6/12/2018,0.03
6/13/2018,0
6/14/2018,0.01
6/15/2018,0
6/16/2018,0
6/17/2018,0
6/18/2018,0
6/19/2018,0.32
6/20/2018,0.29
6/21/2018,0.28
6/22/2018,0.17
6/23/2018,0.65
6/24/2018,0.06
6/25/2018,0.77
6/26/2018,0
6/27/2018,0
6/28/2018,1.05
6/29/2018,0
6/30/2018,0
7/1/2018,0
7/2/2018,0
7/3/2018,0.01
7/4/2018,3.31
7/5/2018,0
7/6/2018,0.78
7/7/2018,0.65
7/8/2018,0
7/9/2018,0
7/10/2018,0
7/11/2018,0
7/12/2018,0.15
7/13/2018,0.09
7/14/2018,0
7/15/2018,0.38
7/16/2018,1.85
7/17/2018,0.07
7/18/2018,2.25
7/19/2018,0
7/20/2018,0
7/21/2018,0.74
7/22/2018,3.31
7/23/2018,0.22
7/24/2018,0.31
7/25/2018,2.98
7/26/2018,2.05
7/27/2018,0.15
7/28/2018,0.94
7/29/2018,0
7/30/2018,0
7/31/2018,0
8/1/2018,1.35
8/2/2018,0.12
8/3/2018,0.7
8/4/2018,2.07
8/5/2018,0.29
8/6/2018,0
8/7/2018,0.05
8/8/2018,0.25
8/9/2018,0.15
8/10/2018,0.08
8/11/2018,0.79
8/12/2018,4.18
8/13/2018,1.64
8/14/2018,6.53
8/15/2018,1.33
8/16/2018,0
8/17/2018,0
8/18/2018,1.2
8/19/2018,1.6
8/20/2018,2.57
8/21/2018,0.02
8/22/2018,0.4
8/23/2018,0
8/24/2018,0
8/25/2018,0
8/26/2018,0
8/27/2018,0
8/28/2018,0
8/29/2018,0
8/30/2018,0
8/31/2018,0.47
9/1/2018,2.05
9/2/2018,0.02
9/3/2018,0
9/4/2018,0
9/5/2018,0
9/6/2018,0.01
9/7/2018,4.54
9/8/2018,7.82
9/9/2018,5.5
9/10/2018,6.58
9/11/2018,0.58
9/12/2018,0.08
9/13/2018,1.31
9/14/2018,0.04
9/15/2018,0
9/16/2018,0
9/17/2018,0.01
9/18/2018,0.69
9/19/2018,4.86
9/20/2018,0.01
9/21/2018,0
9/22/2018,0.03
9/23/2018,0.89
9/24/2018,2.91
9/25/2018,0.98
9/26/2018,6.25
9/27/2018,1.26
9/28/2018,5.55
9/29/2018,0.01
9/30/2018,0
10/1/2018,0
10/2/2018,0.34
10/3/2018,1.41
10/4/2018,0.18
10/5/2018,0.56
10/6/2018,0
10/7/2018,0
10/8/2018,0.03
10/9/2018,0.21
10/10/2018,0.01
10/11/2018,0.87
10/12/2018,6.24
10/13/2018,0.28
10/14/2018,0.1
10/15/2018,0.15
10/16/2018,0.42
10/17/2018,0
10/18/2018,0
10/19/2018,0
10/20/2018,0.49
10/21/2018,0.08
10/22/2018,0.08
10/23/2018,0
10/24/2018,0
10/25/2018,0
10/26/2018,0.31
10/27/2018,5.16
10/28/2018,0.76
10/29/2018,0.14
10/30/2018,0.01
10/31/2018,0
11/1/2018,0
11/2/2018,0.43
11/3/2018,3.76
11/4/2018,0.01
11/5/2018,0.75
11/6/2018,3.23
11/7/2018,3.72
11/8/2018,0.01
11/9/2018,0.75
11/10/2018,3.52
11/11/2018,0.01
11/12/2018,0.23
11/13/2018,5.56
11/14/2018,0.58
11/15/2018,0.99
11/16/2018,4.38
11/17/2018,0.01
11/18/2018,0
11/19/2018,0
11/20/2018,0.04
11/21/2018,0
11/22/2018,0
11/23/2018,0
11/24/2018,2.01
11/25/2018,10.4
11/26/2018,0.89
11/27/2018,3.41
11/28/2018,0
11/29/2018,0
11/30/2018,0
12/1/2018,0.07
12/2/2018,2.29
12/3/2018,0.27
12/4/2018,0
12/5/2018,0.03
12/6/2018,1.3
12/7/2018,0
12/8/2018,0
12/9/2018,0
12/10/2018,0
12/11/2018,0
12/12/2018,0
12/13/2018,0
12/14/2018,0.11
12/15/2018,1.11
12/16/2018,4.52
12/17/2018,1.25
12/18/2018,0
12/19/2018,0
12/20/2018,0.56
12/21/2018,6.67
12/22/2018,1.14
12/23/2018,0
12/24/2018,0.11
12/25/2018,0
12/26/2018,0
12/27/2018,0
12/28/2018,3.85
12/29/2018,4.46
12/30/2018,0.01
12/31/2018,0.67
1/1/2019,4.46
1/2/2019,0
1/3/2019,0
1/4/2019,0.04
1/5/2019,1.46
1/6/2019,1.2
1/7/2019,0.02
1/8/2019,0.5
1/9/2019,0.5
1/10/2019,0
1/11/2019,0
1/12/2019,0.05
1/13/2019,2.18
1/14/2019,0
1/15/2019,0
1/16/2019,0
1/17/2019,0.01
1/18/2019,0.25
1/19/2019,0.61
1/20/2019,6.07
1/21/2019,0.27
1/22/2019,0
1/23/2019,0.01
1/24/2019,1.76
1/25/2019,2.91
1/26/2019,0
1/27/2019,0
1/28/2019,0.04
1/29/2019,0.16
1/30/2019,0.48
1/31/2019,0.01
2/1/2019,0.06
2/2/2019,0.13
2/3/2019,0
2/4/2019,0
2/5/2019,0
2/6/2019,0.3
2/7/2019,1.05
2/8/2019,0.12
2/9/2019,0.09
2/10/2019,0.09
2/11/2019,0.81
2/12/2019,1.51
2/13/2019,3.13
2/14/2019,0
2/15/2019,0
2/16/2019,0
2/17/2019,0.21
2/18/2019,1.06
2/19/2019,0
2/20/2019,0.65
2/21/2019,1.95
2/22/2019,0
2/23/2019,0.03
2/24/2019,1.46
2/25/2019,0.31
2/26/2019,0
2/27/2019,0
2/28/2019,0
3/1/2019,0.99
3/2/2019,1.83
3/3/2019,0.9
3/4/2019,3.62
3/5/2019,0
3/6/2019,0
3/7/2019,0
3/8/2019,0
3/9/2019,0
3/10/2019,3.15
3/11/2019,0.53
3/12/2019,0
3/13/2019,0
3/14/2019,0
3/15/2019,0.04
3/16/2019,0.4
3/17/2019,0
3/18/2019,0
3/19/2019,0
3/20/2019,0
3/21/2019,1
3/22/2019,3.76
3/23/2019,0.23
3/24/2019,0
3/25/2019,0.15
3/26/2019,0.21
3/27/2019,0
3/28/2019,0
3/29/2019,0
3/30/2019,0.01
3/31/2019,0.12
4/1/2019,0.34
4/2/2019,0
4/3/2019,0
4/4/2019,0
4/5/2019,0.11
4/6/2019,0.53
4/7/2019,0.01
4/8/2019,0.81
4/9/2019,0.04
4/10/2019,0.2
4/11/2019,0
4/12/2019,0.23
4/13/2019,1.14
4/14/2019,0.01
4/15/2019,3.11
4/16/2019,0.16
4/17/2019,0
4/18/2019,0
4/19/2019,0.42
4/20/2019,3.03
4/21/2019,1.05
4/22/2019,0.01
4/23/2019,0
4/24/2019,0
4/25/2019,0
4/26/2019,1.46
